t (s)	U1(V)
0.000000	0.998716
0.001000	0.998716
0.002000	0.998716
0.003000	0.998716
0.004000	0.998716
0.005000	0.998716
0.006000	0.998716
0.007000	0.998716
0.008000	0.998716
0.009000	0.998716
0.010000	1.003945
0.011000	0.998716
0.012000	0.998716
0.013000	0.998716
0.014000	0.998716
0.015000	0.998716
0.016000	0.998716
0.017000	0.998716
0.018000	0.998716
0.019000	1.003945
0.020000	0.998716
0.021000	0.998716
0.022000	0.998716
0.023000	0.998716
0.024000	0.998716
0.025000	0.998716
0.026000	0.998716
0.027000	0.998716
0.028000	1.003945
0.029000	0.998716
0.030000	0.998716
0.031000	0.998716
0.032000	0.998716
0.033000	0.998716
0.034000	0.998716
0.035000	0.998716
0.036000	1.003945
0.037000	0.998716
0.038000	0.998716
0.039000	0.998716
0.040000	0.998716
0.041000	0.998716
0.042000	0.998716
0.043000	0.998716
0.044000	0.998716
0.045000	0.998716
0.046000	0.998716
0.047000	0.998716
0.048000	0.998716
0.049000	0.998716
0.050000	1.003945
0.051000	0.998716
0.052000	1.003945
0.053000	0.998716
0.054000	0.998716
0.055000	0.998716
0.056000	0.998716
0.057000	0.998716
0.058000	0.998716
0.059000	0.998716
0.060000	0.998716
0.061000	0.998716
0.062000	0.998716
0.063000	0.998716
0.064000	0.998716
0.065000	0.998716
0.066000	0.998716
0.067000	0.998716
0.068000	0.998716
0.069000	0.998716
0.070000	0.998716
0.071000	0.998716
0.072000	0.998716
0.073000	0.998716
0.074000	0.998716
0.075000	0.998716
0.076000	0.998716
0.077000	0.998716
0.078000	0.998716
0.079000	0.998716
0.080000	0.998716
0.081000	0.998716
0.082000	0.998716
0.083000	0.998716
0.084000	0.998716
0.085000	0.998716
0.086000	0.998716
0.087000	0.998716
0.088000	0.998716
0.089000	0.998716
0.090000	0.998716
0.091000	0.998716
0.092000	0.998716
0.093000	0.998716
0.094000	0.998716
0.095000	0.998716
0.096000	0.998716
0.097000	1.003945
0.098000	1.003945
0.099000	0.998716
0.100000	0.998716
0.101000	0.998716
0.102000	0.998716
0.103000	0.998716
0.104000	0.998716
0.105000	0.998716
0.106000	1.003945
0.107000	0.998716
0.108000	0.998716
0.109000	0.998716
0.110000	0.998716
0.111000	0.998716
0.112000	0.998716
0.113000	0.998716
0.114000	0.998716
0.115000	0.998716
0.116000	0.998716
0.117000	0.998716
0.118000	0.998716
0.119000	0.998716
0.120000	0.998716
0.121000	0.998716
0.122000	0.998716
0.123000	0.998716
0.124000	0.998716
0.125000	0.998716
0.126000	0.998716
0.127000	0.998716
0.128000	0.998716
0.129000	0.998716
0.130000	0.998716
0.131000	0.998716
0.132000	0.998716
0.133000	0.998716
0.134000	1.003945
0.135000	0.998716
0.136000	0.998716
0.137000	0.998716
0.138000	0.998716
0.139000	0.998716
0.140000	0.998716
0.141000	1.003945
0.142000	0.998716
0.143000	0.998716
0.144000	0.998716
0.145000	0.998716
0.146000	0.998716
0.147000	0.998716
0.148000	0.998716
0.149000	0.998716
0.150000	0.998716
0.151000	0.998716
0.152000	0.998716
0.153000	0.998716
0.154000	0.998716
0.155000	0.998716
0.156000	0.998716
0.157000	0.998716
0.158000	0.998716
0.159000	0.998716
0.160000	0.993487
0.161000	0.998716
0.162000	0.998716
0.163000	0.998716
0.164000	0.998716
0.165000	0.998716
0.166000	0.998716
0.167000	1.003945
0.168000	0.998716
0.169000	0.998716
0.170000	0.998716
0.171000	0.998716
0.172000	0.998716
0.173000	0.998716
0.174000	0.998716
0.175000	0.998716
0.176000	0.998716
0.177000	0.998716
0.178000	0.998716
0.179000	0.998716
0.180000	0.998716
0.181000	0.998716
0.182000	0.998716
0.183000	0.993487
0.184000	0.998716
0.185000	0.998716
0.186000	0.998716
0.187000	0.998716
0.188000	0.998716
0.189000	0.998716
0.190000	0.998716
0.191000	0.998716
0.192000	0.998716
0.193000	0.998716
0.194000	1.003945
0.195000	0.998716
0.196000	0.998716
0.197000	0.998716
0.198000	0.998716
0.199000	0.998716
0.200000	0.998716
0.201000	0.998716
0.202000	0.998716
0.203000	0.998716
0.204000	0.998716
0.205000	0.998716
0.206000	0.998716
0.207000	0.998716
0.208000	0.998716
0.209000	1.003945
0.210000	0.998716
0.211000	0.998716
0.212000	0.998716
0.213000	0.998716
0.214000	0.998716
0.215000	0.998716
0.216000	0.998716
0.217000	0.998716
0.218000	0.998716
0.219000	0.998716
0.220000	0.998716
0.221000	0.998716
0.222000	0.998716
0.223000	0.998716
0.224000	0.998716
0.225000	0.998716
0.226000	0.998716
0.227000	0.998716
0.228000	1.003945
0.229000	0.998716
0.230000	0.998716
0.231000	0.998716
0.232000	0.998716
0.233000	0.998716
0.234000	0.998716
0.235000	0.998716
0.236000	0.998716
0.237000	0.998716
0.238000	0.998716
0.239000	0.998716
0.240000	0.998716
0.241000	0.998716
0.242000	0.998716
0.243000	1.003945
0.244000	0.998716
0.245000	0.998716
0.246000	0.998716
0.247000	0.998716
0.248000	0.998716
0.249000	0.998716
0.250000	0.998716
0.251000	0.998716
0.252000	0.998716
0.253000	0.998716
0.254000	0.998716
0.255000	0.998716
0.256000	0.998716
0.257000	0.998716
0.258000	0.998716
0.259000	0.998716
0.260000	0.998716
0.261000	0.998716
0.262000	0.998716
0.263000	1.003945
0.264000	0.998716
0.265000	0.998716
0.266000	0.998716
0.267000	0.998716
0.268000	0.998716
0.269000	0.998716
0.270000	0.998716
0.271000	0.998716
0.272000	0.998716
0.273000	0.998716
0.274000	0.998716
0.275000	0.998716
0.276000	0.998716
0.277000	0.998716
0.278000	0.998716
0.279000	0.998716
0.280000	0.998716
0.281000	0.998716
0.282000	0.998716
0.283000	0.998716
0.284000	0.998716
0.285000	0.998716
0.286000	0.998716
0.287000	0.998716
0.288000	0.998716
0.289000	0.998716
0.290000	0.998716
0.291000	0.998716
0.292000	0.998716
0.293000	0.998716
0.294000	0.998716
0.295000	0.998716
0.296000	0.998716
0.297000	0.998716
0.298000	0.998716
0.299000	0.998716
0.300000	0.998716
0.301000	0.998716
0.302000	1.003945
0.303000	0.998716
0.304000	0.998716
0.305000	0.998716
0.306000	0.998716
0.307000	0.998716
0.308000	0.998716
0.309000	0.998716
0.310000	0.998716
0.311000	0.998716
0.312000	0.998716
0.313000	0.998716
0.314000	0.993487
0.315000	0.998716
0.316000	0.998716
0.317000	0.998716
0.318000	0.998716
0.319000	0.998716
0.320000	0.998716
0.321000	0.998716
0.322000	0.998716
0.323000	0.998716
0.324000	0.998716
0.325000	0.998716
0.326000	0.998716
0.327000	0.998716
0.328000	0.998716
0.329000	1.003945
0.330000	1.003945
0.331000	0.998716
0.332000	0.998716
0.333000	0.998716
0.334000	0.998716
0.335000	0.998716
0.336000	0.998716
0.337000	0.993487
0.338000	0.998716
0.339000	0.998716
0.340000	0.998716
0.341000	0.998716
0.342000	0.998716
0.343000	0.998716
0.344000	0.993487
0.345000	0.998716
0.346000	0.998716
0.347000	0.998716
0.348000	0.998716
0.349000	0.993487
0.350000	0.998716
0.351000	0.998716
0.352000	0.998716
0.353000	0.998716
0.354000	0.993487
0.355000	0.993487
0.356000	0.993487
0.357000	0.998716
0.358000	0.993487
0.359000	0.993487
0.360000	0.993487
0.361000	0.998716
0.362000	0.993487
0.363000	0.993487
0.364000	0.993487
0.365000	0.993487
0.366000	0.993487
0.367000	0.993487
0.368000	0.993487
0.369000	0.993487
0.370000	0.993487
0.371000	0.993487
0.372000	0.993487
0.373000	0.993487
0.374000	0.993487
0.375000	0.993487
0.376000	0.993487
0.377000	0.988259
0.378000	0.988259
0.379000	0.988259
0.380000	0.988259
0.381000	0.988259
0.382000	0.988259
0.383000	0.988259
0.384000	0.988259
0.385000	0.988259
0.386000	0.988259
0.387000	0.988259
0.388000	0.988259
0.389000	0.983030
0.390000	0.983030
0.391000	0.983030
0.392000	0.983030
0.393000	0.983030
0.394000	0.983030
0.395000	0.983030
0.396000	0.977801
0.397000	0.983030
0.398000	0.983030
0.399000	0.977801
0.400000	0.977801
0.401000	0.977801
0.402000	0.977801
0.403000	0.977801
0.404000	0.977801
0.405000	0.972572
0.406000	0.972572
0.407000	0.972572
0.408000	0.972572
0.409000	0.972572
0.410000	0.972572
0.411000	0.972572
0.412000	0.972572
0.413000	0.972572
0.414000	0.967343
0.415000	0.967343
0.416000	0.967343
0.417000	0.967343
0.418000	0.962114
0.419000	0.962114
0.420000	0.962114
0.421000	0.962114
0.422000	0.962114
0.423000	0.962114
0.424000	0.956885
0.425000	0.956885
0.426000	0.956885
0.427000	0.956885
0.428000	0.956885
0.429000	0.956885
0.430000	0.956885
0.431000	0.951656
0.432000	0.956885
0.433000	0.951656
0.434000	0.951656
0.435000	0.951656
0.436000	0.946428
0.437000	0.951656
0.438000	0.946428
0.439000	0.946428
0.440000	0.946428
0.441000	0.946428
0.442000	0.941199
0.443000	0.941199
0.444000	0.941199
0.445000	0.941199
0.446000	0.941199
0.447000	0.941199
0.448000	0.935970
0.449000	0.935970
0.450000	0.935970
0.451000	0.935970
0.452000	0.935970
0.453000	0.930741
0.454000	0.935970
0.455000	0.930741
0.456000	0.930741
0.457000	0.925512
0.458000	0.925512
0.459000	0.925512
0.460000	0.925512
0.461000	0.925512
0.462000	0.920283
0.463000	0.920283
0.464000	0.915054
0.465000	0.920283
0.466000	0.915054
0.467000	0.920283
0.468000	0.915054
0.469000	0.915054
0.470000	0.915054
0.471000	0.909825
0.472000	0.909825
0.473000	0.909825
0.474000	0.909825
0.475000	0.909825
0.476000	0.904596
0.477000	0.904596
0.478000	0.904596
0.479000	0.904596
0.480000	0.904596
0.481000	0.899368
0.482000	0.899368
0.483000	0.899368
0.484000	0.894139
0.485000	0.894139
0.486000	0.894139
0.487000	0.894139
0.488000	0.888910
0.489000	0.888910
0.490000	0.888910
0.491000	0.883681
0.492000	0.883681
0.493000	0.883681
0.494000	0.883681
0.495000	0.883681
0.496000	0.883681
0.497000	0.878452
0.498000	0.873223
0.499000	0.878452
0.500000	0.873223
0.501000	0.873223
0.502000	0.873223
0.503000	0.873223
0.504000	0.867994
0.505000	0.867994
0.506000	0.867994
0.507000	0.862765
0.508000	0.862765
0.509000	0.862765
0.510000	0.862765
0.511000	0.862765
0.512000	0.857537
0.513000	0.857537
0.514000	0.857537
0.515000	0.852308
0.516000	0.852308
0.517000	0.852308
0.518000	0.852308
0.519000	0.852308
0.520000	0.847079
0.521000	0.841850
0.522000	0.841850
0.523000	0.841850
0.524000	0.841850
0.525000	0.836621
0.526000	0.836621
0.527000	0.836621
0.528000	0.836621
0.529000	0.831392
0.530000	0.831392
0.531000	0.826163
0.532000	0.831392
0.533000	0.826163
0.534000	0.826163
0.535000	0.826163
0.536000	0.820934
0.537000	0.820934
0.538000	0.815705
0.539000	0.815705
0.540000	0.815705
0.541000	0.815705
0.542000	0.815705
0.543000	0.810477
0.544000	0.810477
0.545000	0.810477
0.546000	0.805248
0.547000	0.800019
0.548000	0.805248
0.549000	0.800019
0.550000	0.800019
0.551000	0.794790
0.552000	0.794790
0.553000	0.794790
0.554000	0.789561
0.555000	0.789561
0.556000	0.789561
0.557000	0.784332
0.558000	0.784332
0.559000	0.784332
0.560000	0.784332
0.561000	0.779103
0.562000	0.779103
0.563000	0.779103
0.564000	0.773874
0.565000	0.773874
0.566000	0.773874
0.567000	0.768646
0.568000	0.768646
0.569000	0.763417
0.570000	0.763417
0.571000	0.763417
0.572000	0.763417
0.573000	0.758188
0.574000	0.758188
0.575000	0.758188
0.576000	0.758188
0.577000	0.758188
0.578000	0.747730
0.579000	0.747730
0.580000	0.752959
0.581000	0.747730
0.582000	0.747730
0.583000	0.742501
0.584000	0.742501
0.585000	0.737272
0.586000	0.737272
0.587000	0.737272
0.588000	0.732043
0.589000	0.732043
